"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/03 8:19:01 am GMT+5:30","20","Instagram","More than 4","Less than 1","5","None","Face to face"
"2022/01/03 8:27:44 am GMT+5:30","21","Twitter;Whatsapp;Facebook;Instagram;Youtube","1 to 2.5","1 to 2.5","8","Fake profiles;Hacking","Through phone;Face to face"
"2022/01/03 8:34:28 am GMT+5:30","20","Whatsapp;Instagram","1 to 2.5","Less than 1","3","None","Text message"
"2022/01/03 8:36:48 am GMT+5:30","20","Whatsapp;Instagram;Snapchat","1 to 2.5","Less than 1","2","Fake profiles","Through phone;Text message;Face to face;Through social media"
"2022/01/03 8:41:30 am GMT+5:30","21","Instagram","More than 4","Less than 1","2","None","Through phone"
"2022/01/03 8:51:21 am GMT+5:30","20","Instagram","Up to 4","Less than 1","4","None","Face to face"
"2022/01/03 8:57:15 am GMT+5:30","21","Twitter;Whatsapp;Facebook;Instagram;Youtube;Snapchat","Up to 4","1 to 2.5","6","None","Through phone;Text message;Through social media"
"2022/01/03 9:00:48 am GMT+5:30","21","Whatsapp;Instagram;Youtube","1 to 2.5","Up to 4","2","None","Through phone"
"2022/01/03 9:07:47 am GMT+5:30","21","Twitter;Instagram;Youtube","None","1 to 2.5","4","Hacking","Face to face;Through social media"
"2022/01/03 9:18:43 am GMT+5:30","20","Whatsapp","Up to 4","Less than 1","3","None","Through phone"
"2022/01/03 9:32:05 am GMT+5:30","21","Twitter;Whatsapp;Instagram;Youtube","Less than 1","None","1","None","Face to face"
"2022/01/03 9:37:13 am GMT+5:30","22","Whatsapp;Instagram;Youtube","Up to 4","Up to 4","0","None","Through phone;Text message;Face to face;Through social media"
"2022/01/03 10:07:00 am GMT+5:30","21","Whatsapp;Instagram;Youtube","Up to 4","Less than 1","2","None","Face to face"
"2022/01/03 10:07:40 am GMT+5:30","21","Whatsapp;Instagram;Youtube","Less than 1","1 to 2.5","4","None","Through phone;Text message;Face to face"
"2022/01/03 10:15:21 am GMT+5:30","21","Twitter;Whatsapp;Facebook;Instagram;Youtube;Hike;Snapchat","More than 4","1 to 2.5","5","None","Through phone;Face to face"
"2022/01/03 10:56:58 am GMT+5:30","21","Whatsapp;Instagram;Youtube","1 to 2.5","1 to 2.5","4","Fake profiles","Face to face"
"2022/01/03 11:21:09 am GMT+5:30","20","Whatsapp;Instagram;Youtube","More than 4","Less than 1","6","None","Through phone;Face to face"
"2022/01/03 11:44:02 am GMT+5:30","20","Whatsapp;Instagram;Youtube;Snapchat","More than 4","Less than 1","10","Photos being misused","Text message"
"2022/01/03 11:53:01 am GMT+5:30","21","Whatsapp;Instagram;Youtube;Snapchat","Up to 4","Less than 1","2","None","Text message"
"2022/01/03 12:45:21 pm GMT+5:30","20","Instagram","1 to 2.5","Less than 1","7","None","Through phone;Text message"
"2022/01/03 1:31:30 pm GMT+5:30","21","Twitter;Whatsapp;Instagram;Youtube","Less than 1","1 to 2.5","6","Fake profiles;Photos being misused","Face to face"
"2022/01/03 1:55:22 pm GMT+5:30","21","Twitter;Whatsapp;Instagram;Snapchat","More than 4","Less than 1","5","None","Text message"
"2022/01/03 1:55:59 pm GMT+5:30","20","Whatsapp;Instagram;Snapchat","More than 4","Less than 1","8","None","Text message;Face to face"
"2022/01/03 1:56:40 pm GMT+5:30","20","Instagram","Up to 4","Less than 1","5","None","Text message"
"2022/01/03 2:31:34 pm GMT+5:30","20","Instagram","More than 4","Less than 1","2","None","Face to face"
"2022/01/03 2:35:05 pm GMT+5:30","20","Whatsapp;Instagram","1 to 2.5","Less than 1","7","None","Through phone;Face to face"
