"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/17 9:58:17 pm GMT+5:30","37","Whatsapp","Up to 4","More than 4","7","Fake profiles;Photos being misused","Text message;Through social media"
"2022/01/17 9:58:22 pm GMT+5:30","40","Facebook","More than 4","More than 4","3","Fake profiles;Photos being misused","Face to face;Through social media"
"2022/01/17 9:58:35 pm GMT+5:30","16","Facebook;Instagram;Hike","1 to 2.5","Less than 1","10","Photos being misused;None",""
"2022/01/17 9:58:47 pm GMT+5:30","59","Twitter;Whatsapp;Facebook","Up to 4","1 to 2.5","8","Photos being misused;None",""
"2022/01/17 9:58:55 pm GMT+5:30","30","Facebook;Youtube;Hike","Up to 4","Less than 1","4","Fake profiles;Hacking",""
"2022/01/17 9:59:04 pm GMT+5:30","42","Instagram;Youtube;Snapchat","More than 4","Up to 4","3","Fake profiles;Photos being misused",""
"2022/01/17 9:59:08 pm GMT+5:30","32","Youtube","Up to 4","More than 4","10","Hacking;None","Through phone;Through social media"
"2022/01/17 9:59:13 pm GMT+5:30","66","Whatsapp","More than 4","More than 4","2","Fake profiles;None","Text message"
"2022/01/17 9:59:25 pm GMT+5:30","66","Facebook","Up to 4","Up to 4","0","Fake profiles;None","Through phone"
"2022/01/17 9:59:29 pm GMT+5:30","47","Twitter;Whatsapp;Facebook","Up to 4","Less than 1","9","Photos being misused;Hacking",""
"2022/01/17 9:59:38 pm GMT+5:30","46","Facebook;Youtube;Snapchat","More than 4","1 to 2.5","2","Fake profiles;None",""
"2022/01/17 9:59:47 pm GMT+5:30","41","Whatsapp;Instagram;Hike","1 to 2.5","Up to 4","0","Fake profiles;None",""
"2022/01/17 9:59:55 pm GMT+5:30","68","Whatsapp","Up to 4","More than 4","4","Fake profiles;Photos being misused","Through phone;Through social media"
"2022/01/17 9:59:59 pm GMT+5:30","46","Instagram","Less than 1","None","10","Fake profiles;Photos being misused","Through phone"
"2022/01/17 10:00:08 pm GMT+5:30","16","Twitter;Whatsapp;Youtube","1 to 2.5","1 to 2.5","2","Fake profiles;None",""
"2022/01/17 10:00:32 pm GMT+5:30","16","Facebook","1 to 2.5","Up to 4","8","Photos being misused;None","Text message;Through social media"
"2022/01/17 10:00:36 pm GMT+5:30","52","Facebook;Hike;Snapchat","More than 4","Less than 1","3","Photos being misused;None",""
"2022/01/17 10:00:46 pm GMT+5:30","17","Whatsapp;Youtube;Hike","Less than 1","Up to 4","7","Fake profiles;Hacking","Through phone;Text message"
"2022/01/17 10:00:50 pm GMT+5:30","43","Twitter;Whatsapp;Instagram","Up to 4","None","5","Fake profiles;None","Text message;Face to face"
"2022/01/17 10:00:59 pm GMT+5:30","61","Facebook;Instagram;Hike","Less than 1","Up to 4","4","Hacking;None",""
"2022/01/17 10:01:08 pm GMT+5:30","45","Whatsapp;Youtube;Hike","Up to 4","None","6","Fake profiles;None","Face to face;Through social media"
"2022/01/17 10:01:16 pm GMT+5:30","68","Whatsapp;Facebook;Hike","1 to 2.5","Less than 1","3","Hacking;None","Through social media"
"2022/01/17 10:01:21 pm GMT+5:30","68","Twitter;Youtube;Hike","Up to 4","More than 4","0","Fake profiles;None","Text message"
"2022/01/17 10:01:26 pm GMT+5:30","16","Twitter","1 to 2.5","None","1","Fake profiles;None","Through phone;Face to face;Through social media"
"2022/01/17 10:01:30 pm GMT+5:30","13","Twitter;Whatsapp;Snapchat","1 to 2.5","More than 4","3","Photos being misused;None",""
"2022/01/17 10:01:35 pm GMT+5:30","40","Youtube","Less than 1","None","4","Fake profiles;Photos being misused","Text message"
"2022/01/17 10:01:47 pm GMT+5:30","44","Facebook;Instagram;Snapchat","Up to 4","1 to 2.5","2","Fake profiles;Photos being misused","Text message"
"2022/01/17 10:01:56 pm GMT+5:30","29","Instagram","1 to 2.5","More than 4","7","Photos being misused;None","Through phone;Through social media"
"2022/01/17 10:02:01 pm GMT+5:30","11","Youtube;Hike;Snapchat","Less than 1","Up to 4","4","Fake profiles;Photos being misused","Through phone"
"2022/01/17 10:02:06 pm GMT+5:30","17","Instagram","1 to 2.5","Up to 4","3","Hacking;None","Text message;Through social media"
"2022/01/17 10:02:10 pm GMT+5:30","30","Facebook;Hike;Snapchat","1 to 2.5","1 to 2.5","7","Fake profiles;Hacking","Through phone;Face to face;Through social media"
"2022/01/17 10:02:27 pm GMT+5:30","40","Whatsapp;Facebook;Instagram","1 to 2.5","Up to 4","7","Hacking;None","Face to face"
"2022/01/17 10:02:35 pm GMT+5:30","70","Twitter","Less than 1","None","9","Fake profiles;Hacking",""
"2022/01/17 10:02:48 pm GMT+5:30","61","Instagram","Up to 4","Less than 1","6","Fake profiles;None","Text message"
"2022/01/17 10:02:53 pm GMT+5:30","56","Whatsapp;Instagram;Youtube","Less than 1","None","0","Photos being misused;None",""
"2022/01/17 10:03:01 pm GMT+5:30","48","Twitter","Up to 4","1 to 2.5","7","Photos being misused;Hacking","Through phone"
"2022/01/17 10:03:06 pm GMT+5:30","38","Twitter","More than 4","More than 4","0","Fake profiles;Photos being misused","Through phone;Through social media"
"2022/01/17 10:03:15 pm GMT+5:30","37","Whatsapp;Instagram;Hike","1 to 2.5","More than 4","2","Fake profiles;Hacking","Face to face;Through social media"
"2022/01/17 10:03:19 pm GMT+5:30","29","Whatsapp;Facebook;Instagram","Less than 1","Less than 1","9","Fake profiles;Hacking","Through phone"
"2022/01/17 10:03:24 pm GMT+5:30","42","Instagram","More than 4","Up to 4","0","Fake profiles;None","Face to face"
"2022/01/17 10:03:28 pm GMT+5:30","16","Facebook","More than 4","Less than 1","9","Photos being misused;None",""
"2022/01/17 10:03:37 pm GMT+5:30","70","Facebook;Instagram;Hike","More than 4","Less than 1","6","Photos being misused;None",""
"2022/01/17 10:03:44 pm GMT+5:30","51","Twitter;Youtube;Snapchat","Up to 4","None","10","Hacking;None","Through phone;Text message;Face to face"
"2022/01/17 10:03:48 pm GMT+5:30","25","Twitter","More than 4","Up to 4","8","Fake profiles;Hacking","Through phone;Text message;Through social media"
"2022/01/17 10:04:02 pm GMT+5:30","56","Instagram;Hike;Snapchat","Less than 1","1 to 2.5","1","Photos being misused;None",""
"2022/01/17 10:04:16 pm GMT+5:30","37","Twitter;Whatsapp;Facebook","More than 4","1 to 2.5","10","Hacking;None","Face to face"
"2022/01/17 10:04:25 pm GMT+5:30","44","Whatsapp","Less than 1","Less than 1","7","Fake profiles;None","Through phone;Face to face;Through social media"
"2022/01/17 10:04:43 pm GMT+5:30","67","Twitter;Facebook;Youtube","More than 4","None","4","Fake profiles;Photos being misused","Text message"
"2022/01/17 10:04:51 pm GMT+5:30","22","Twitter;Facebook;Youtube","1 to 2.5","Up to 4","4","Fake profiles;Photos being misused","Face to face"
"2022/01/17 10:04:56 pm GMT+5:30","59","Twitter;Instagram;Snapchat","Up to 4","Less than 1","8","Fake profiles;None","Text message;Face to face;Through social media"
"2022/01/17 10:05:09 pm GMT+5:30","61","Hike","1 to 2.5","More than 4","1","Fake profiles;Hacking","Through phone"
"2022/01/17 10:05:14 pm GMT+5:30","21","Instagram;Youtube;Snapchat","Up to 4","Up to 4","2","Hacking;None","Face to face;Through social media"
"2022/01/17 10:05:23 pm GMT+5:30","62","Facebook;Hike;Snapchat","1 to 2.5","None","7","Fake profiles;Hacking","Face to face;Through social media"
"2022/01/17 10:05:35 pm GMT+5:30","50","Whatsapp;Facebook;Hike","Up to 4","Up to 4","4","Photos being misused;None","Through phone;Text message"
"2022/01/17 10:05:40 pm GMT+5:30","31","Twitter;Facebook;Hike","Less than 1","1 to 2.5","8","Photos being misused;None",""
"2022/01/17 10:05:56 pm GMT+5:30","35","Twitter;Instagram;Hike","More than 4","1 to 2.5","8","Photos being misused;None",""
"2022/01/17 10:06:00 pm GMT+5:30","65","Whatsapp","More than 4","1 to 2.5","6","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/17 10:06:15 pm GMT+5:30","22","Facebook;Youtube;Hike","Up to 4","More than 4","2","Photos being misused;None","Through phone"
"2022/01/17 10:06:21 pm GMT+5:30","18","Facebook","1 to 2.5","Less than 1","4","Photos being misused;None",""
"2022/01/17 10:06:28 pm GMT+5:30","58","Twitter;Whatsapp;Facebook","1 to 2.5","More than 4","4","Hacking;None","Through phone;Face to face"
"2022/01/17 10:12:20 pm GMT+5:30","21","Twitter;Youtube","More than 4","More than 4","6","Fake profiles;None","Through phone;Text message"
"2022/01/17 10:12:33 pm GMT+5:30","23","Youtube","Up to 4","1 to 2.5","2","Photos being misused;Hacking","Through social media"
"2022/01/17 10:12:38 pm GMT+5:30","25","Twitter;Snapchat","Up to 4","Up to 4","4","Fake profiles;Hacking","Text message;Through social media"
"2022/01/17 10:12:55 pm GMT+5:30","22","Twitter;Facebook;Instagram;Hike","1 to 2.5","Up to 4","2","Fake profiles;None","Text message"
"2022/01/17 10:13:14 pm GMT+5:30","28","Twitter;Facebook;Instagram;Snapchat","Up to 4","1 to 2.5","8","Photos being misused;None","Through phone;Through social media"
"2022/01/17 10:13:22 pm GMT+5:30","30","Facebook;Hike","Up to 4","More than 4","3","Photos being misused;None",""
"2022/01/17 10:13:31 pm GMT+5:30","24","Whatsapp;Hike","Less than 1","More than 4","2","Fake profiles;None","Through phone;Text message"
"2022/01/17 10:13:39 pm GMT+5:30","27","Twitter;Snapchat","Less than 1","1 to 2.5","5","Fake profiles;Hacking","Text message"
"2022/01/17 10:13:44 pm GMT+5:30","26","Twitter;Youtube;Snapchat","Less than 1","Up to 4","2","Fake profiles;Photos being misused","Text message"
"2022/01/17 10:13:56 pm GMT+5:30","26","Facebook;Youtube","More than 4","None","4","Photos being misused;None","Through phone;Face to face"
"2022/01/17 10:14:09 pm GMT+5:30","29","Twitter;Facebook;Instagram;Snapchat","Up to 4","Up to 4","9","Fake profiles;Photos being misused",""
"2022/01/17 10:14:14 pm GMT+5:30","24","Instagram","1 to 2.5","More than 4","6","Photos being misused;Hacking","Through phone"
"2022/01/17 10:14:22 pm GMT+5:30","21","Instagram;Hike","1 to 2.5","None","2","Fake profiles;Hacking","Through social media"
"2022/01/17 10:14:31 pm GMT+5:30","25","Twitter;Hike","Up to 4","Less than 1","6","Photos being misused;Hacking","Through phone"
"2022/01/17 10:14:35 pm GMT+5:30","20","Facebook;Instagram","More than 4","None","5","Photos being misused;Hacking","Through social media"
"2022/01/17 10:14:43 pm GMT+5:30","30","Instagram;Youtube;Hike","More than 4","More than 4","2","Fake profiles;Photos being misused","Through phone;Face to face"
"2022/01/17 10:14:48 pm GMT+5:30","30","Twitter;Whatsapp;Youtube;Hike","Up to 4","More than 4","8","Fake profiles;None",""
"2022/01/17 10:14:59 pm GMT+5:30","24","Whatsapp","Less than 1","Up to 4","2","Fake profiles;Hacking","Text message"
"2022/01/17 10:15:19 pm GMT+5:30","27","Whatsapp","Less than 1","1 to 2.5","2","Fake profiles;Hacking","Text message;Face to face;Through social media"
"2022/01/17 10:16:15 pm GMT+5:30","30","Snapchat","1 to 2.5","Less than 1","7","Fake profiles;Photos being misused","Through phone;Text message;Face to face"
"2022/01/17 10:17:00 pm GMT+5:30","22","Whatsapp","Up to 4","Less than 1","7","Fake profiles;Hacking","Through social media"
"2022/01/17 10:17:33 pm GMT+5:30","21","Whatsapp;Snapchat","Up to 4","Up to 4","2","Fake profiles;None","Through phone"
"2022/01/17 10:33:51 pm GMT+5:30","48","Whatsapp","More than 4","Up to 4","7","None","Through phone;Face to face"
"2022/01/17 10:34:00 pm GMT+5:30","32","Whatsapp;Facebook","More than 4","None","7","None","Through social media"
"2022/01/17 10:34:05 pm GMT+5:30","34","Youtube","1 to 2.5","Less than 1","4","Fake profiles","Through phone;Through social media"
"2022/01/17 10:34:10 pm GMT+5:30","31","Whatsapp","1 to 2.5","1 to 2.5","4","Fake profiles",""
"2022/01/17 10:34:14 pm GMT+5:30","30","Whatsapp","Up to 4","More than 4","1","None","Text message"
"2022/01/17 10:34:19 pm GMT+5:30","40","Facebook","More than 4","None","6","None",""
"2022/01/17 10:34:27 pm GMT+5:30","38","Facebook","1 to 2.5","1 to 2.5","6","Photos being misused",""
"2022/01/17 10:34:35 pm GMT+5:30","50","Whatsapp;Facebook;Youtube","1 to 2.5","More than 4","3","Photos being misused","Face to face;Through social media"
"2022/01/17 10:34:40 pm GMT+5:30","41","Whatsapp;Facebook;Youtube","More than 4","More than 4","8","None","Through phone;Face to face;Through social media"
"2022/01/17 10:34:44 pm GMT+5:30","20","Whatsapp;Facebook;Youtube","Up to 4","More than 4","6","None",""
"2022/01/17 10:34:58 pm GMT+5:30","43","Whatsapp","1 to 2.5","None","2","None","Text message"
"2022/01/17 10:35:10 pm GMT+5:30","46","Whatsapp;Youtube","1 to 2.5","1 to 2.5","4","Fake profiles","Face to face;Through social media"
"2022/01/17 10:35:18 pm GMT+5:30","40","Facebook","More than 4","More than 4","2","Fake profiles",""
"2022/01/17 10:35:38 pm GMT+5:30","35","Facebook","More than 4","None","9","Fake profiles","Through phone;Text message;Through social media"
"2022/01/17 10:35:43 pm GMT+5:30","39","Youtube","Up to 4","More than 4","0","None","Through phone;Face to face"
"2022/01/17 10:35:51 pm GMT+5:30","27","Facebook;Youtube","Up to 4","More than 4","4","Photos being misused","Text message;Through social media"
"2022/01/17 10:35:57 pm GMT+5:30","26","Facebook","1 to 2.5","More than 4","10","None","Through phone"
"2022/01/17 10:36:09 pm GMT+5:30","40","Whatsapp","Up to 4","Up to 4","1","None","Text message;Face to face;Through social media"
"2022/01/17 10:36:39 pm GMT+5:30","42","Whatsapp","1 to 2.5","Up to 4","0","Fake profiles","Through phone;Text message;Through social media"
"2022/01/17 10:36:43 pm GMT+5:30","34","Youtube","Up to 4","Up to 4","2","Photos being misused",""
"2022/01/17 10:36:47 pm GMT+5:30","32","Facebook;Youtube","Up to 4","More than 4","5","Photos being misused",""
"2022/01/17 10:36:56 pm GMT+5:30","33","Whatsapp;Youtube","Up to 4","None","7","None","Through social media"
"2022/01/17 10:37:00 pm GMT+5:30","34","Youtube","More than 4","None","6","Photos being misused","Through phone;Text message"
"2022/01/17 10:37:10 pm GMT+5:30","33","Facebook","More than 4","None","9","Fake profiles",""
"2022/01/17 10:37:18 pm GMT+5:30","42","Youtube","1 to 2.5","Less than 1","1","Fake profiles",""
"2022/01/17 10:37:22 pm GMT+5:30","30","Whatsapp;Facebook;Youtube","Up to 4","None","8","Photos being misused","Through phone;Face to face;Through social media"
"2022/01/17 10:37:39 pm GMT+5:30","31","Facebook","1 to 2.5","Up to 4","0","Photos being misused",""
"2022/01/17 10:37:48 pm GMT+5:30","49","Facebook;Youtube","1 to 2.5","1 to 2.5","2","Photos being misused","Through phone"
"2022/01/17 10:38:13 pm GMT+5:30","36","Whatsapp","Up to 4","None","0","Fake profiles","Through phone;Through social media"
"2022/01/17 10:38:22 pm GMT+5:30","23","Whatsapp;Facebook;Youtube","1 to 2.5","More than 4","6","None","Through social media"
"2022/01/17 10:38:30 pm GMT+5:30","49","Facebook","Up to 4","More than 4","0","None",""
"2022/01/17 10:38:34 pm GMT+5:30","47","Whatsapp","1 to 2.5","None","8","Photos being misused","Text message;Face to face"
"2022/01/17 10:38:38 pm GMT+5:30","36","Facebook","More than 4","More than 4","9","None",""
"2022/01/17 10:38:47 pm GMT+5:30","24","Facebook","Up to 4","None","3","Photos being misused","Through social media"
"2022/01/17 10:38:55 pm GMT+5:30","47","Youtube","Up to 4","None","1","None","Text message"
"2022/01/17 10:39:08 pm GMT+5:30","45","Whatsapp;Facebook;Youtube","Up to 4","Up to 4","3","Photos being misused","Through social media"
"2022/01/17 10:39:12 pm GMT+5:30","35","Whatsapp;Facebook;Youtube","Up to 4","Less than 1","9","None","Through phone;Text message"
"2022/01/17 10:39:16 pm GMT+5:30","35","Youtube","1 to 2.5","Up to 4","0","Fake profiles","Through phone;Text message"
"2022/01/17 10:39:21 pm GMT+5:30","32","Facebook","1 to 2.5","1 to 2.5","0","Fake profiles","Face to face"
"2022/01/17 10:39:25 pm GMT+5:30","41","Whatsapp","More than 4","Up to 4","2","Fake profiles","Text message;Face to face"
"2022/01/17 10:39:29 pm GMT+5:30","43","Whatsapp","Up to 4","Less than 1","2","Fake profiles","Text message"
"2022/01/17 10:39:33 pm GMT+5:30","46","Whatsapp;Facebook;Youtube","Up to 4","More than 4","1","Photos being misused",""
"2022/01/17 10:39:45 pm GMT+5:30","23","Facebook;Youtube","1 to 2.5","More than 4","1","Photos being misused",""
"2022/01/17 10:40:01 pm GMT+5:30","42","Youtube","1 to 2.5","More than 4","9","None",""
"2022/01/17 10:40:10 pm GMT+5:30","25","Whatsapp;Facebook","1 to 2.5","Less than 1","3","Fake profiles","Through phone"
"2022/01/17 10:40:17 pm GMT+5:30","21","Whatsapp","1 to 2.5","Less than 1","2","Photos being misused","Text message"
"2022/01/17 10:40:26 pm GMT+5:30","29","Facebook;Youtube","Up to 4","More than 4","7","Fake profiles","Text message"
"2022/01/17 10:40:33 pm GMT+5:30","23","Whatsapp","Up to 4","Less than 1","7","Fake profiles",""
"2022/01/17 11:00:56 pm GMT+5:30","37","Whatsapp;Facebook","1 to 2.5","Up to 4","0","None","Text message"
"2022/01/17 11:01:05 pm GMT+5:30","43","Youtube","Up to 4","Less than 1","1","Fake profiles","Through phone;Text message"
"2022/01/17 11:01:23 pm GMT+5:30","50","Whatsapp;Facebook;Youtube","More than 4","None","7","None","Through social media"
"2022/01/17 11:01:54 pm GMT+5:30","30","Facebook;Youtube","Up to 4","Up to 4","3","None","Through phone"
"2022/01/17 11:02:16 pm GMT+5:30","36","Youtube","Up to 4","1 to 2.5","6","None",""
"2022/01/17 11:02:30 pm GMT+5:30","35","Whatsapp","1 to 2.5","More than 4","0","Fake profiles","Through social media"
"2022/01/17 11:02:57 pm GMT+5:30","35","Youtube","More than 4","More than 4","8","Photos being misused","Text message;Through social media"
"2022/01/17 11:03:20 pm GMT+5:30","22","Whatsapp","Up to 4","Less than 1","1","None","Through phone;Through social media"
"2022/01/17 11:04:09 pm GMT+5:30","40","Youtube","1 to 2.5","None","9","Photos being misused","Text message"
"2022/01/17 11:04:28 pm GMT+5:30","28","Facebook","1 to 2.5","None","6","Fake profiles",""
"2022/01/17 11:05:32 pm GMT+5:30","35","Facebook","Up to 4","More than 4","9","Photos being misused","Through phone"
"2022/01/17 11:06:48 pm GMT+5:30","33","Facebook","Up to 4","None","7","Photos being misused","Text message;Face to face;Through social media"
"2022/01/17 11:07:19 pm GMT+5:30","48","Youtube","More than 4","1 to 2.5","0","Photos being misused",""
"2022/01/17 11:07:28 pm GMT+5:30","37","Youtube","More than 4","1 to 2.5","4","Fake profiles","Face to face"
"2022/01/17 11:07:33 pm GMT+5:30","30","Whatsapp;Facebook;Youtube","More than 4","Less than 1","8","Fake profiles","Through phone;Text message"
"2022/01/17 11:07:45 pm GMT+5:30","30","Whatsapp;Youtube","1 to 2.5","1 to 2.5","6","Fake profiles","Text message"
"2022/01/17 11:07:54 pm GMT+5:30","46","Facebook","Up to 4","Less than 1","3","None","Through phone"
"2022/01/17 11:08:03 pm GMT+5:30","36","Whatsapp","More than 4","Less than 1","6","Photos being misused",""
"2022/01/17 11:08:16 pm GMT+5:30","43","Whatsapp","More than 4","More than 4","6","Photos being misused","Text message"
"2022/01/17 11:08:25 pm GMT+5:30","31","Youtube","Up to 4","More than 4","10","Photos being misused","Through phone"
"2022/01/17 11:08:29 pm GMT+5:30","22","Youtube","1 to 2.5","Less than 1","10","Photos being misused",""
"2022/01/17 11:08:34 pm GMT+5:30","24","Whatsapp;Youtube","Up to 4","Less than 1","0","Fake profiles","Through social media"
"2022/01/17 11:08:39 pm GMT+5:30","45","Whatsapp;Facebook","1 to 2.5","None","7","Photos being misused","Text message"
"2022/01/17 11:08:48 pm GMT+5:30","38","Whatsapp;Facebook;Youtube","1 to 2.5","1 to 2.5","5","Fake profiles","Face to face;Through social media"
"2022/01/17 11:08:56 pm GMT+5:30","28","Youtube","Up to 4","1 to 2.5","10","Fake profiles","Face to face"
"2022/01/17 11:09:11 pm GMT+5:30","31","Youtube","1 to 2.5","Up to 4","5","Photos being misused","Face to face"
"2022/01/17 11:09:19 pm GMT+5:30","50","Youtube","More than 4","Up to 4","5","None","Through social media"
"2022/01/17 11:09:28 pm GMT+5:30","50","Facebook","More than 4","None","6","Fake profiles",""
"2022/01/17 11:09:37 pm GMT+5:30","24","Youtube","More than 4","1 to 2.5","4","Fake profiles","Through social media"
"2022/01/17 11:09:45 pm GMT+5:30","33","Whatsapp;Facebook","1 to 2.5","Up to 4","2","Photos being misused","Through phone"
"2022/01/17 11:09:58 pm GMT+5:30","49","Whatsapp;Youtube","Up to 4","Up to 4","3","None",""
"2022/01/17 11:10:08 pm GMT+5:30","29","Whatsapp","1 to 2.5","More than 4","5","Photos being misused","Through phone;Text message;Face to face"
"2022/01/17 11:10:44 pm GMT+5:30","50","Whatsapp","1 to 2.5","More than 4","9","Fake profiles","Text message"
"2022/01/17 11:10:54 pm GMT+5:30","45","Whatsapp;Instagram","1 to 2.5","Up to 4","5","None","Through phone;Through social media"
"2022/01/17 11:11:22 pm GMT+5:30","42","Whatsapp;Instagram;Youtube","More than 4","1 to 2.5","0","Photos being misused","Through phone;Text message"
"2022/01/17 11:11:54 pm GMT+5:30","49","Facebook","1 to 2.5","More than 4","8","Photos being misused","Text message"
"2022/01/17 11:12:02 pm GMT+5:30","46","Youtube","1 to 2.5","Up to 4","0","Fake profiles","Through phone;Text message;Face to face"
"2022/01/17 11:12:18 pm GMT+5:30","49","Youtube","Up to 4","1 to 2.5","5","None",""
"2022/01/17 11:12:33 pm GMT+5:30","45","Facebook;Youtube","1 to 2.5","Less than 1","2","Fake profiles","Face to face"
"2022/01/17 11:13:07 pm GMT+5:30","31","Youtube","More than 4","Up to 4","7","Fake profiles","Face to face;Through social media"
"2022/01/17 11:13:12 pm GMT+5:30","46","Facebook;Youtube","1 to 2.5","1 to 2.5","4","Fake profiles","Through social media"
"2022/01/17 11:13:17 pm GMT+5:30","44","Youtube","Up to 4","1 to 2.5","3","None",""
"2022/01/17 11:13:33 pm GMT+5:30","42","Facebook","More than 4","1 to 2.5","8","Photos being misused","Text message"
"2022/01/17 11:13:41 pm GMT+5:30","34","Whatsapp;Facebook;Youtube","1 to 2.5","More than 4","6","Photos being misused","Through phone;Through social media"
"2022/01/17 11:13:49 pm GMT+5:30","20","Whatsapp","More than 4","More than 4","8","Photos being misused","Through phone;Text message;Face to face"
"2022/01/17 11:13:57 pm GMT+5:30","46","Whatsapp;Facebook;Youtube","More than 4","None","10","Fake profiles","Through phone"
"2022/01/17 11:14:15 pm GMT+5:30","25","Youtube","More than 4","None","1","Photos being misused","Through social media"
"2022/01/17 11:14:28 pm GMT+5:30","50","Facebook","1 to 2.5","1 to 2.5","6","Photos being misused","Through phone;Face to face;Through social media"
"2022/01/17 11:14:33 pm GMT+5:30","36","Whatsapp","Up to 4","Up to 4","9","Photos being misused","Text message"
"2022/01/17 11:14:37 pm GMT+5:30","49","Youtube","1 to 2.5","Less than 1","2","Fake profiles","Through phone;Text message;Face to face"
"2022/01/17 11:14:48 pm GMT+5:30","41","Whatsapp","1 to 2.5","1 to 2.5","9","Photos being misused",""
"2022/01/17 11:15:01 pm GMT+5:30","48","Whatsapp","Up to 4","Up to 4","6","Photos being misused",""
"2022/01/17 11:15:05 pm GMT+5:30","21","Whatsapp","More than 4","Less than 1","0","Fake profiles","Through phone;Text message"
"2022/01/17 11:15:10 pm GMT+5:30","44","Facebook;Youtube","Up to 4","More than 4","7","Photos being misused","Text message"
"2022/01/17 11:15:14 pm GMT+5:30","39","Whatsapp","Up to 4","Less than 1","4","Photos being misused",""
"2022/01/17 11:21:45 pm GMT+5:30","48","Hike;Snapchat","Up to 4","More than 4","10","Photos being misused;Hacking",""
"2022/01/17 11:22:02 pm GMT+5:30","40","Twitter;Youtube","Less than 1","None","8","Photos being misused;Hacking","Through social media"
"2022/01/17 11:22:13 pm GMT+5:30","41","Facebook;Youtube;Snapchat","More than 4","Up to 4","5","Fake profiles;None",""
"2022/01/17 11:22:37 pm GMT+5:30","18","Facebook;Youtube;Hike","More than 4","More than 4","8","Fake profiles;None","Through phone"
"2022/01/17 11:22:41 pm GMT+5:30","59","Instagram","1 to 2.5","More than 4","1","Photos being misused;None","Text message;Through social media"
"2022/01/17 11:22:49 pm GMT+5:30","53","Twitter;Youtube;Hike","Up to 4","Less than 1","8","Fake profiles;None","Through social media"
"2022/01/17 11:22:58 pm GMT+5:30","39","Facebook;Instagram;Youtube;Snapchat","Up to 4","Less than 1","9","Fake profiles;Photos being misused","Through phone"
"2022/01/17 11:23:02 pm GMT+5:30","48","Twitter;Youtube","1 to 2.5","Less than 1","8","Hacking;None",""
"2022/01/17 11:23:19 pm GMT+5:30","55","Twitter","More than 4","1 to 2.5","1","Fake profiles;Photos being misused","Text message;Face to face;Through social media"
"2022/01/17 11:23:33 pm GMT+5:30","63","Whatsapp;Facebook;Youtube","Less than 1","More than 4","5","Photos being misused;None",""
"2022/01/17 11:23:49 pm GMT+5:30","40","Snapchat","More than 4","None","4","Fake profiles;Photos being misused","Through phone;Through social media"
"2022/01/17 11:23:57 pm GMT+5:30","18","Twitter;Whatsapp;Hike","Less than 1","1 to 2.5","10","Photos being misused;None",""
"2022/01/17 11:24:16 pm GMT+5:30","38","Twitter;Whatsapp;Facebook;Instagram","More than 4","1 to 2.5","5","Fake profiles;None",""
"2022/01/17 11:24:28 pm GMT+5:30","55","Twitter;Hike","1 to 2.5","More than 4","4","Photos being misused;None",""
"2022/01/17 11:24:40 pm GMT+5:30","14","Whatsapp","More than 4","1 to 2.5","10","Hacking;None","Through social media"
"2022/01/17 11:24:48 pm GMT+5:30","56","Youtube","Up to 4","1 to 2.5","0","Hacking;None",""
"2022/01/17 11:24:56 pm GMT+5:30","59","Twitter;Facebook;Snapchat","Up to 4","More than 4","9","Fake profiles;Photos being misused","Through social media"
"2022/01/17 11:25:42 pm GMT+5:30","50","Instagram;Youtube;Hike;Snapchat","More than 4","1 to 2.5","3","Photos being misused;None","Face to face;Through social media"
"2022/01/17 11:25:47 pm GMT+5:30","53","Snapchat","Less than 1","None","7","Hacking;None","Through phone"
"2022/01/17 11:25:55 pm GMT+5:30","17","Hike","1 to 2.5","Less than 1","6","Hacking;None","Text message;Face to face"
"2022/01/17 11:26:03 pm GMT+5:30","25","Twitter;Whatsapp;Hike;Snapchat","More than 4","Less than 1","1","Fake profiles;None","Text message;Face to face;Through social media"
"2022/01/17 11:26:07 pm GMT+5:30","43","Twitter;Facebook;Youtube;Hike","More than 4","None","9","Photos being misused;None","Through phone;Face to face"
"2022/01/17 11:26:28 pm GMT+5:30","66","Snapchat","1 to 2.5","1 to 2.5","8","Fake profiles;Photos being misused","Through social media"
"2022/01/17 11:26:44 pm GMT+5:30","37","Youtube","Less than 1","None","3","Fake profiles;None","Through phone;Face to face;Through social media"
"2022/01/17 11:26:55 pm GMT+5:30","12","Whatsapp;Facebook;Youtube;Hike","More than 4","Less than 1","4","Fake profiles;Photos being misused",""
"2022/01/17 11:27:15 pm GMT+5:30","61","Facebook;Instagram","Up to 4","Up to 4","5","Fake profiles;Hacking","Face to face"
"2022/01/17 11:27:23 pm GMT+5:30","30","Whatsapp;Instagram;Youtube;Hike","1 to 2.5","1 to 2.5","10","Photos being misused;Hacking",""
"2022/01/17 11:27:31 pm GMT+5:30","64","Instagram;Hike","1 to 2.5","1 to 2.5","4","Photos being misused;Hacking","Through phone;Text message;Face to face"
